Timestamp,AvgCell(V),Voltage(V),Current(A),Power(W),Capacity(mAh)
[00:04:47.893],3.52,21.09,1.85,39.10,128
[00:04:47.993],3.49,20.97,3.20,67.02,128
[00:04:48.093],3.52,21.13,1.60,33.88,128
[00:04:48.193],3.50,21.03,2.69,56.58,128
[00:04:48.295],3.52,21.13,1.56,32.87,128
[00:04:48.395],3.50,20.98,3.01,63.07,128
[00:04:48.496],3.51,21.06,2.29,48.29,128
[00:04:48.596],3.50,20.99,3.01,63.03,129
[00:04:48.797],3.51,21.05,2.42,50.80,129
[00:04:48.897],3.48,20.89,3.95,82.58,129
[00:04:48.997],3.52,21.12,1.69,35.57,129
[00:04:49.097],3.49,20.92,3.62,75.75,129
[00:04:49.198],3.52,21.09,2.00,42.21,129
[00:04:49.298],3.49,20.95,3.32,69.48,129
[00:04:49.399],3.51,21.07,2.11,44.37,129
[00:04:49.499],3.50,21.01,2.78,58.39,129
[00:04:49.599],3.49,20.95,3.38,70.89,129
[00:04:49.700],3.51,21.09,1.93,40.69,129
[00:04:49.800],3.49,20.94,3.49,72.99,129
[00:04:49.901],3.52,21.13,1.54,32.48,129
[00:04:50.001],3.50,20.99,2.92,61.27,130
[00:04:50.102],3.50,20.97,3.21,67.42,130
[00:04:50.202],3.52,21.12,1.73,36.44,130
[00:04:50.302],3.51,21.07,2.18,45.97,130
[00:04:50.502],3.52,21.14,1.48,31.26,130
[00:04:50.603],3.50,21.03,2.63,55.25,130
[00:04:50.804],3.52,21.10,1.91,40.26,130
[00:04:51.108],3.52,21.14,1.41,29.81,130
[00:04:51.208],3.52,21.11,1.87,39.42,130
[00:04:51.309],3.51,21.07,2.23,46.89,130
[00:04:51.509],3.52,21.14,1.36,28.78,130
[00:04:51.609],3.51,21.08,2.15,45.28,130
[00:04:51.709],3.52,21.13,1.60,33.87,131
[00:04:51.809],3.53,21.18,1.18,24.98,131
[00:04:51.909],3.50,21.01,2.70,56.72,131
[00:04:52.010],3.51,21.08,2.00,42.24,131
[00:04:52.110],3.53,21.18,1.10,23.22,131
[00:04:52.211],3.52,21.10,1.92,40.58,131
[00:04:52.411],3.53,21.19,1.01,21.48,131
[00:04:52.511],3.51,21.05,2.34,49.29,131
[00:04:52.712],3.51,21.09,1.93,40.59,131
[00:04:52.816],3.53,21.19,1.07,22.64,131
[00:04:52.917],3.51,21.09,1.97,41.57,131
[00:04:53.121],3.53,21.17,1.32,27.97,131
[00:04:53.221],3.52,21.11,1.79,37.74,131
[00:04:53.321],3.51,21.07,2.26,47.69,131
[00:04:53.421],3.52,21.11,1.77,37.32,131
[00:04:53.726],3.53,21.17,1.13,23.90,132
[00:04:53.926],3.51,21.03,2.47,51.85,132
[00:04:54.026],3.52,21.11,1.81,38.30,132
[00:04:54.127],3.53,21.20,0.86,18.23,132
[00:04:54.226],3.52,21.11,1.90,40.00,132
[00:04:54.328],3.53,21.16,1.23,26.02,132
[00:04:54.428],3.53,21.19,1.01,21.44,132
[00:04:54.633],3.51,21.07,2.18,45.86,132
[00:04:54.733],3.52,21.15,1.35,28.57,132
[00:04:54.833],3.51,21.08,2.07,43.58,132
[00:04:55.034],3.53,21.15,1.48,31.30,132
[00:04:55.134],3.51,21.03,2.48,52.25,132
[00:04:55.334],3.50,21.03,2.05,43.29,132
[00:04:55.434],3.52,21.11,2.48,35.29,132
[00:04:55.639],3.52,21.10,1.91,40.31,133
[00:04:55.839],3.50,21.02,2.72,57.23,133
[00:04:55.939],3.50,20.99,3.04,62.43,133
[00:04:56.040],3.52,21.09,1.53,32.21,133
[00:04:56.141],3.51,21.04,2.40,50.54,133
[00:04:56.241],3.50,20.99,2.99,62.67,133
[00:04:56.341],3.52,21.11,1.76,37.07,133
[00:04:56.442],3.51,21.07,2.24,47.18,133
[00:04:56.542],3.50,20.99,2.91,61.01,133
[00:04:56.642],3.50,21.02,2.69,56.64,133
[00:04:56.743],3.52,21.10,1.87,39.44,133
[00:04:56.843],3.50,21.03,2.53,53.29,133
[00:04:56.944],3.51,21.07,2.16,45.55,133
[00:04:57.044],3.52,21.12,1.68,35.39,133
[00:04:57.145],3.50,21.00,2.81,58.89,133
[00:04:57.349],3.52,21.14,1.46,30.91,134
[00:04:57.449],3.50,21.01,2.68,56.35,134
[00:04:57.649],3.53,21.15,1.27,26.96,134
[00:04:57.770],3.51,21.07,2.12,44.65,134
[00:04:57.870],3.50,21.01,2.76,57.87,134
[00:04:57.971],3.52,21.11,1.75,37.04,134
[00:04:58.071],3.50,20.99,2.92,61.31,134
[00:04:58.171],3.51,21.03,2.40,50.42,134
[00:04:58.272],3.51,21.07,2.20,46.26,134
[00:04:58.377],3.49,20.97,3.06,64.14,134
[00:04:58.478],3.50,21.02,2.65,55.78,134
[00:04:58.581],3.52,21.15,1.31,27.72,134
[00:04:58.682],3.50,21.02,2.52,52.97,134
[00:04:58.886],3.52,21.11,1.63,34.42,135
[00:04:58.987],3.51,21.04,2.44,51.31,135
[00:04:59.087],3.50,20.97,3.03,63.59,135
[00:04:59.188],3.51,21.08,1.94,40.84,135
[00:04:59.293],3.50,20.98,3.03,63.53,135
[00:04:59.393],3.51,21.05,2.45,51.53,135
[00:04:59.493],3.53,21.17,1.02,21.51,135
[00:04:59.593],3.49,20.96,3.16,66.25,135
[00:04:59.694],3.49,20.94,3.38,70.67,135
[00:04:59.794],3.52,21.11,1.67,35.22,135
[00:04:59.895],3.51,21.05,2.39,50.38,135
[00:04:59.995],3.50,20.98,2.87,60.14,135
[00:05:00.095],3.51,21.04,2.39,50.23,135
[00:05:00.300],3.50,21.01,2.71,56.93,136
[00:05:00.401],3.50,21.03,2.47,51.83,136
[00:05:00.503],3.53,21.16,1.14,24.11,136
[00:05:00.604],3.50,21.00,2.75,57.83,136
[00:05:00.705],3.51,21.08,2.00,42.06,136
[00:05:00.805],3.52,21.11,1.72,36.22,136
[00:05:00.906],3.50,20.98,2.98,62.47,136
[00:05:01.006],3.49,20.94,3.31,69.29,136
[00:05:01.106],3.52,21.12,1.49,31.48,136
[00:05:01.206],3.52,21.10,1.74,36.73,136
[00:05:01.307],3.50,21.00,2.83,59.39,136
[00:05:01.511],3.52,21.13,1.47,31.01,136
[00:05:01.717],3.50,21.03,2.43,50.99,136
[00:05:01.817],3.50,20.97,3.06,64.17,137
[00:05:01.917],3.51,21.06,2.24,47.08,137
[00:05:02.017],3.53,21.17,1.01,21.45,137
[00:05:02.118],3.52,21.10,1.72,36.24,137
[00:05:02.218],3.50,21.02,2.59,54.54,137
[00:05:02.319],3.50,20.98,2.87,60.18,137
[00:05:02.423],3.52,21.12,1.50,31.63,137
[00:05:02.524],3.52,21.15,1.26,26.70,137
[00:05:02.624],3.51,21.05,2.22,46.82,137
[00:05:02.724],3.50,20.99,2.78,58.34,137
[00:05:02.925],3.52,21.13,1.47,31.16,137
[00:05:03.025],3.53,21.18,1.08,22.89,137
[00:05:03.125],3.51,21.09,1.81,38.15,137
[00:05:03.226],3.50,21.01,2.64,55.45,137
[00:05:03.427],3.51,21.04,2.36,49.73,137
[00:05:03.527],3.52,21.13,1.35,28.54,137
[00:05:03.631],3.53,21.16,1.14,24.12,137
[00:05:03.733],3.51,21.07,2.14,45.01,138
[00:05:03.832],3.50,21.01,2.62,55.06,138
[00:05:04.037],3.53,21.19,0.81,17.17,138
[00:05:05.457],3.53,21.18,1.03,21.81,138
[00:05:05.557],3.51,21.07,2.14,45.15,138
[00:05:05.658],3.50,21.01,2.75,57.72,138
[00:05:05.866],3.52,21.15,1.34,28.30,138
[00:05:05.967],3.52,21.09,1.89,39.78,138
[00:05:06.067],3.50,21.00,2.88,60.50,138
[00:05:06.167],3.53,21.15,1.20,25.42,138
[00:05:06.267],3.50,21.03,2.57,53.95,139
[00:05:06.367],3.50,20.99,3.00,62.97,139
[00:05:06.469],3.52,21.12,1.54,32.43,139
[00:05:06.569],3.50,21.02,2.60,54.73,139
[00:05:06.670],3.51,21.06,2.15,45.22,139
[00:05:06.770],3.51,21.09,1.92,40.57,139
[00:05:06.870],3.50,20.99,2.92,61.23,139
[00:05:06.970],3.52,21.11,1.72,36.28,139
[00:05:07.070],3.51,21.06,2.07,43.61,139
[00:05:07.171],3.50,21.00,2.79,58.50,139
[00:05:07.271],3.52,21.14,1.38,29.12,139
[00:05:07.373],3.51,21.04,2.41,50.61,139
[00:05:07.573],3.52,21.14,1.35,28.48,139
[00:05:07.673],3.50,21.01,2.60,54.68,139
[00:05:07.874],3.52,21.15,1.23,25.94,139
[00:05:07.978],3.50,20.99,2.81,59.08,140
[00:05:08.079],3.51,21.04,2.43,51.11,140
[00:05:08.179],3.51,21.08,1.94,40.96,140
[00:05:08.279],3.50,21.02,2.59,54.46,140
[00:05:08.379],3.51,21.08,1.88,39.65,140
[00:05:08.580],3.50,21.00,2.74,57.55,140
[00:05:08.679],3.52,21.13,1.38,29.13,140
[00:05:08.779],3.51,21.07,2.01,42.39,140
[00:05:08.879],3.50,20.99,2.81,58.89,140
[00:05:08.980],3.52,21.14,1.30,27.40,140
[00:05:09.085],3.50,21.03,2.41,50.58,140
[00:05:09.190],3.50,20.99,2.87,60.31,140
[00:05:09.290],3.53,21.16,1.15,24.27,140
[00:05:09.390],3.51,21.03,2.44,51.39,140
[00:05:09.590],3.52,21.12,1.58,33.33,141
[00:05:09.691],3.53,21.19,0.86,18.15,141
[00:05:09.790],3.54,21.21,0.64,13.65,141
[00:05:13.635],3.51,21.04,2.60,54.61,141
[00:05:13.739],3.46,20.78,5.00,103.92,141
[00:05:13.839],3.51,21.07,2.11,44.46,141
[00:05:13.943],3.48,20.87,4.17,87.00,142
[00:05:14.043],3.49,20.94,3.43,71.71,142
[00:05:14.246],3.46,20.77,5.04,104.66,142
[00:05:14.347],3.49,20.94,3.36,70.41,142
[00:05:14.447],3.49,20.92,3.71,77.54,142
[00:05:14.855],3.49,20.95,3.15,65.94,142
[00:05:14.959],3.48,20.88,4.01,83.64,143
[00:05:15.059],3.49,20.96,3.12,65.40,143
[00:05:15.869],3.50,20.97,2.91,60.99,143
[00:05:17.185],3.50,21.01,1.73,49.87,144
[00:05:17.286],3.53,21.15,1.15,24.33,144
[00:05:17.386],3.53,21.20,0.60,12.76,144
[00:05:17.690],3.54,21.23,0.36,7.63,144
[00:05:24.303],3.54,21.25,0.56,11.89,145
[00:05:38.855],3.54,21.21,1.04,22.08,148
[00:05:38.955],3.54,21.25,0.66,13.98,148
[00:05:39.663],3.54,21.23,0.89,18.80,148
[00:05:40.843],3.50,21.02,2.92,61.29,148
[00:05:41.143],3.55,21.29,0.19,4.11,148
